,stationID,name,lon,lat,neighbour
0,2048,Longcao Road,121.439715575,31.171622034,"[312, 314, 2012, 2038]"
1,2049,Pudian Road,121.527848943,31.224457288000004,"[2010, 2015]"
2,2050,Jing'an Temple,121.441840398,31.225058466,"[2041, 738, 2017, 2054]"
3,2051,Yishan Road,121.422615594,31.188486856,"[932, 2025, 2029, 314, 2044]"
4,2052,Longyang Road,121.552971357,31.205156342,"[751, 753, 1622, 251, 253]"
5,2053,Xintiandi,121.470561773,31.218292459,"[2056, 2031, 2028, 2008]"
6,2054,Jiangsu Road,121.427966595,31.221768963,"[2057, 2050, 2043, 2037]"
7,2055,Caoyang Road,121.413156251,31.241192686,"[2024, 2009, 1144, 2057]"
8,2056,South Shaanxi Road,121.455464091,31.21914496,"[2017, 2053, 2028, 2033, 2041, 1051]"
9,2057,Longde Road,121.418836726,31.232586009,"[2009, 1329, 2054, 2055]"
10,508,Jianchuan Road,121.411962619,31.028392219,"[507, 509]"
11,1043,Hongqiao Terminal 1,121.342591804,31.193518019000003,"[1044, 2013]"
12,1044,Shanghai Zoo,121.363529229,31.192230792,"[1043, 1045]"
13,1045,Longxi Road,121.375244457,31.196193522,"[1044, 1046, 1020]"
14,512,Wenjing Road,121.376150158,31.005526962,"[513, 511]"
15,1047,Yili Road,121.39921421,31.201064069,"[1048, 1046]"
16,1048,Songyuan Road,121.407543286,31.198348293,"[2044, 1047]"
17,1628,Shanghai Wild Animal Park,121.695438606,31.052487249,"[1627, 1629]"
18,943,Middle Yanggao Road,121.544387644,31.229674097,[2010]
19,1626,Hangtou East,121.613286958,31.05724005,"[1625, 1627]"
20,1055,Yuyuan Garden,121.482864468,31.229964559000003,"[2008, 2019]"
21,1058,North Sichuan Road,121.479642061,31.253898054,"[2026, 2047]"
22,1627,Xinchang,121.644868866,31.04780769,"[1626, 1628]"
23,1060,Youdian Xincun,121.489789828,31.270427704,"[2018, 2047]"
24,1062,Tongji University,121.501792382,31.283944779,"[2018, 1063]"
25,1064,Wujiaochang,121.510067542,31.2997292,"[1065, 1063]"
26,1065,Jiangwan Stadium,121.509729601,31.305442827,"[1064, 1066]"
27,1066,Sanmen Road,121.50401182,31.315050515,"[1065, 1067]"
28,1067,East Yingao Road,121.502525459,31.323799384,"[1066, 1068]"
29,1068,New Jiangwan City,121.502697658,31.33112066,[1067]
30,1629,Huinan,121.757556095,31.055964545,"[1628, 1630]"
31,1246,Donglu Road,121.57507366,31.284688952,"[2004, 1245]"
32,513,Minhang Development Zone,121.365118845,31.002572281,[512]
33,1630,Huinan East,121.789523971,31.02841678,"[1629, 1631]"
34,837,Zhongxing Road,121.464500701,31.255223204,"[2021, 838]"
35,1161,Xiuyan Road,121.594253458,31.140388537,"[2042, 1162]"
36,1631,Shuyuan,121.846216134,30.961601584,"[1632, 1630]"
37,1632,Lingang Avenue,121.90670309,30.925884482,"[1633, 1631]"
38,1159,Yuqiao,121.566686634,31.160429607,[2042]
39,2031,Madang Road,121.472724523,31.211562334,"[937, 1338, 2036, 2053]"
40,1622,Middle Huaxia Road,121.578857186,31.178233461,"[2042, 2052]"
41,1156,East Sanlin,121.518661386,31.148597133000003,"[1155, 1157]"
42,1162,Kangxin Highway,121.613030242,31.132655073,"[1161, 1163]"
43,1624,East Zhoupu,121.602754092,31.112309544,"[1625, 2042]"
44,1625,Hesha Hangcheng,121.607093362,31.079974585,"[1624, 1626]"
45,1114,Huaqiao,121.099702972,31.300398755,[1115]
46,1115,Guangming Road,121.112634001,31.298066751,"[1114, 1116]"
47,1116,Zhaofeng Road,121.145740322,31.290849897,"[1115, 1117]"
48,1117,Anting,121.157449346,31.29037688,"[1116, 1118]"
49,1118,Shanghai Automobile City,121.176250907,31.28729941,"[1117, 1119]"
50,1119,East Changji Road,121.195922139,31.295550108,"[1120, 1118]"
51,1120,Shanghai Circuit,121.221647938,31.33387003,"[1119, 1134]"
52,1633,Dishui Lake,121.925777167,30.909305386,[1632]
53,1020,Longbai Xincun,121.365793331,31.179095825,"[1019, 1045]"
54,1153,Longyao Road,121.455131976,31.161590898000004,"[1152, 2040]"
55,1131,North Jiading,121.232947442,31.393474009,[1132]
56,1132,West Jiading,121.223424041,31.379042743000003,"[1131, 1133]"
57,1133,Baiyin Road,121.240967331,31.347225544,"[1132, 1134]"
58,622,South Lingyan Road,121.490806173,31.150842633000003,"[2040, 623]"
59,623,Shangnan Road,121.502354461,31.15110376,"[624, 622]"
60,112,Waihuanlu,121.38849586,31.12298734,"[113, 2011]"
61,113,Lianhua Road,121.39828804,31.132883499,"[112, 114]"
62,114,Jinjiang Amusement Park,121.409494683,31.144053983000003,"[113, 2027]"
63,1139,Wuwei Road,121.360455468,31.278154062,"[1138, 1140]"
64,628,Linyi Xincun,121.512700268,31.195301069,"[629, 2023]"
65,629,Shanghai Children's Medical Center,121.51890689,31.204842461,"[628, 2015]"
66,1142,Shanghai West Railway Station,121.396085821,31.264540771,"[1141, 1143]"
67,119,Hengshan Road,121.441944506,31.206619041,"[2025, 2017]"
68,1144,Fengqiao Road,121.406511864,31.243749563,"[2055, 1143]"
69,633,Yuanshen Sports Center,121.530378145,31.235143094,"[2010, 634]"
70,634,Minsheng Road,121.53961142,31.238147385,"[633, 635]"
71,635,Beiyangjing Road,121.547873193,31.24121507,"[634, 636]"
72,124,Xinzha Road,121.463493379,31.24067856,"[2035, 2039]"
73,637,Yunshan Road,121.568640821,31.252628085,"[636, 638]"
74,638,Jinqiao Road,121.577716757,31.259449703,"[637, 639]"
75,127,Zhongshan North Road,121.454688131,31.260741938,"[128, 2034]"
76,128,Yanchang Road,121.450712025,31.273307641,"[129, 127]"
