from_cinema,to_cinema,distance_km,duration_min_freeflow_osrm,coord_quality_note
CGV影城（松江印象城杜比ULTRA 4DX店）,CGV影城（白玉兰广场IMAX店）,38.78,36.0,"from:approx_from_address;to:osm_nearby_mall;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,CGV影城（青浦天空万科广场IMAX店）,22.8,22.2,"from:approx_from_address;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,CMG融媒影城,30.7,28.4,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,MOViE MOViE影城（前滩太古里店）,31.3,26.1,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC上影影城（丁香路LUXE店）,43.95,39.2,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC上影影城（国华广场店）,44.48,40.5,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC上影影城（港汇永华IMAX激光店）,30.09,25.7,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC上影百联影城（八佰伴IMAX店）,38.84,35.4,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC动漫主题影院（美罗城店）,29.82,25.5,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC永华电影荟（世纪汇店）,40.1,36.3,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,UME影城（上海新天地店）,34.0,31.6,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,万达影城（五角场万达广场激光IMAX店）,43.9,39.3,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,万达影城（崇明万达广场店）,132.74,111.2,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,万达影城（金山万达广场店）,40.09,37.7,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,上海大光明电影院,34.5,31.8,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,上海市沪北电影院,36.75,34.0,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,上海影城SHO,31.1,26.5,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,上海百丽宫影城（万象城店）,22.24,23.6,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,上海百丽宫影城（环贸iapm店）,33.51,29.8,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,上海百丽宫影城（长宁来福士店）,28.82,28.9,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
