cinema,address,lat,lon,coord_source,nearest_station,nearest_station_id,walk_to_station_km,walk_to_station_min
CGV影城（松江印象城杜比ULTRA 4DX店）,松江区广富林路1788弄印象城4层,31.0588,121.2415,approx_from_address,Songjiang University Town,922,1.3,22.3
CGV影城（白玉兰广场IMAX店）,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,31.2548,121.503,osm_nearby_mall,Tilanqiao,1239,0.09,6.2
CGV影城（青浦天空万科广场IMAX店）,青浦区徐泾镇崧泽大道2229弄66号L3-01,31.2049062,121.2768766,osm_nearby_cinema,East Xujing,234,2.36,36.5
CMG融媒影城,徐汇区龙文路19号1-4层,31.18,121.458,approx_from_address,Longhua Middle Road,2045,0.86,16.5
MOViE MOViE影城（前滩太古里店）,浦东新区东育路500弄前滩太古里石区3楼S-L3-13,31.155651,121.4770424,osm_exact,Oriental Sports Center,2040,0.07,5.9
SFC上影影城（丁香路LUXE店）,浦东新区丁香路858号3楼,31.2265,121.546,approx_from_address,Middle Yanggao Road,943,0.38,10.1
SFC上影影城（国华广场店）,杨浦区三门路99号415室,31.3095,121.506,approx_from_address,Jiangwan Stadium,1065,0.57,12.6
SFC上影影城（港汇永华IMAX激光店）,徐汇区虹桥路1号6层616/6M01,31.1960541,121.4322361,osm_exact,Xujiahui,2025,0.27,8.7
SFC上影百联影城（八佰伴IMAX店）,浦东新区张杨路501号10楼,31.2306544,121.5121632,osm_exact,Shangcheng Road,941,0.23,8.1
SFC动漫主题影院（美罗城店）,徐汇区肇嘉浜路1111号美罗城5楼,31.1946674,121.434975,osm_exact,Xujiahui,2025,0.16,7.1
SFC永华电影荟（世纪汇店）,世纪大道1192号世纪汇广场5层022、6层001号商铺,31.2287,121.528,approx_from_address,Pudian Road,2049,0.47,11.3
UME影城（上海新天地店）,黄浦区兴业路123弄6号楼新天地时尚I座5楼,31.2220502,121.4701894,osm_exact,South Huangpi Road,2028,0.32,9.3
万达影城（五角场万达广场激光IMAX店）,杨浦区国宾路58号五角场万达商业广场3层,31.3033877,121.509025,osm_exact,Jiangwan Stadium,1065,0.24,8.2
万达影城（崇明万达广场店）,崇明区城桥镇崇明大道8388号3F-A室,31.629,121.397,approx_from_address,North Jiangyang Road,339,24.65,333.7
万达影城（金山万达广场店）,金山区龙皓路1188号万达广场4楼,30.743,121.344,approx_from_address,Minhang Development Zone,513,28.93,390.8
上海大光明电影院,黄浦区南京西路216号,31.2348416,121.4665688,osm_exact,People's Square,2035,0.37,9.9
上海市沪北电影院,静安区洛川东路500号,31.268,121.458,approx_from_address,North Xizang Road,838,0.67,13.9
上海影城SHO,长宁区新华路160号,31.2059,121.4302,approx_from_address,Jiaotong University,2037,0.25,8.3
